value,district,area,month
6.0,Bay Of Plenty,Eastern Bay of Plenty,2016-06-01
5.0,Bay Of Plenty,Eastern Bay of Plenty,2016-07-01
2.0,Bay Of Plenty,Eastern Bay of Plenty,2016-08-01
3.0,Bay Of Plenty,Eastern Bay of Plenty,2016-09-01
0.0,Bay Of Plenty,Rotorua,2009-01-01
0.0,Bay Of Plenty,Rotorua,2009-02-01
0.0,Bay Of Plenty,Rotorua,2009-03-01
3.0,Bay Of Plenty,Rotorua,2009-04-01
7.0,Bay Of Plenty,Rotorua,2009-05-01
9.0,Bay Of Plenty,Rotorua,2009-06-01
5.0,Bay Of Plenty,Rotorua,2009-07-01
2.0,Bay Of Plenty,Rotorua,2009-08-01
8.0,Bay Of Plenty,Rotorua,2009-09-01
5.0,Bay Of Plenty,Rotorua,2009-10-01
5.0,Bay Of Plenty,Rotorua,2009-11-01
10.0,Bay Of Plenty,Rotorua,2009-12-01
8.0,Bay Of Plenty,Rotorua,2010-01-01
5.0,Bay Of Plenty,Rotorua,2010-02-01
5.0,Bay Of Plenty,Rotorua,2010-03-01
3.0,Bay Of Plenty,Rotorua,2010-04-01
5.0,Bay Of Plenty,Rotorua,2010-05-01
5.0,Bay Of Plenty,Rotorua,2010-06-01
2.0,Bay Of Plenty,Rotorua,2010-07-01
2.0,Bay Of Plenty,Rotorua,2010-08-01
6.0,Bay Of Plenty,Rotorua,2010-09-01
8.0,Bay Of Plenty,Rotorua,2010-10-01
1.0,Bay Of Plenty,Rotorua,2010-11-01
8.0,Bay Of Plenty,Rotorua,2010-12-01
2.0,Bay Of Plenty,Rotorua,2011-01-01
4.0,Bay Of Plenty,Rotorua,2011-02-01
1.0,Bay Of Plenty,Rotorua,2011-03-01
3.0,Bay Of Plenty,Rotorua,2011-04-01
7.0,Bay Of Plenty,Rotorua,2011-05-01
5.0,Bay Of Plenty,Rotorua,2011-06-01
4.0,Bay Of Plenty,Rotorua,2011-07-01
9.0,Bay Of Plenty,Rotorua,2011-08-01
3.0,Bay Of Plenty,Rotorua,2011-09-01
3.0,Bay Of Plenty,Rotorua,2011-10-01
4.0,Bay Of Plenty,Rotorua,2011-11-01
3.0,Bay Of Plenty,Rotorua,2011-12-01
8.0,Bay Of Plenty,Rotorua,2012-01-01
4.0,Bay Of Plenty,Rotorua,2012-02-01
9.0,Bay Of Plenty,Rotorua,2012-03-01
4.0,Bay Of Plenty,Rotorua,2012-04-01
6.0,Bay Of Plenty,Rotorua,2012-05-01
7.0,Bay Of Plenty,Rotorua,2012-06-01
3.0,Bay Of Plenty,Rotorua,2012-07-01
3.0,Bay Of Plenty,Rotorua,2012-08-01
