value,district,month
29.0,Canterbury,2015-10-01
25.0,Canterbury,2015-11-01
21.0,Canterbury,2015-12-01
20.0,Canterbury,2016-01-01
25.0,Canterbury,2016-02-01
30.0,Canterbury,2016-03-01
30.0,Canterbury,2016-04-01
27.0,Canterbury,2016-05-01
28.0,Canterbury,2016-06-01
24.0,Canterbury,2016-07-01
21.0,Canterbury,2016-08-01
23.0,Canterbury,2016-09-01
23.0,Central,2009-01-01
9.0,Central,2009-02-01
27.0,Central,2009-03-01
20.0,Central,2009-04-01
25.0,Central,2009-05-01
15.0,Central,2009-06-01
12.0,Central,2009-07-01
21.0,Central,2009-08-01
17.0,Central,2009-09-01
27.0,Central,2009-10-01
15.0,Central,2009-11-01
19.0,Central,2009-12-01
16.0,Central,2010-01-01
11.0,Central,2010-02-01
18.0,Central,2010-03-01
21.0,Central,2010-04-01
15.0,Central,2010-05-01
12.0,Central,2010-06-01
24.0,Central,2010-07-01
22.0,Central,2010-08-01
27.0,Central,2010-09-01
27.0,Central,2010-10-01
18.0,Central,2010-11-01
25.0,Central,2010-12-01
14.0,Central,2011-01-01
12.0,Central,2011-02-01
22.0,Central,2011-03-01
22.0,Central,2011-04-01
16.0,Central,2011-05-01
10.0,Central,2011-06-01
24.0,Central,2011-07-01
17.0,Central,2011-08-01
15.0,Central,2011-09-01
10.0,Central,2011-10-01
22.0,Central,2011-11-01
14.0,Central,2011-12-01
15.0,Central,2012-01-01
17.0,Central,2012-02-01
20.0,Central,2012-03-01
27.0,Central,2012-04-01
28.0,Central,2012-05-01
15.0,Central,2012-06-01
20.0,Central,2012-07-01
22.0,Central,2012-08-01
20.0,Central,2012-09-01
21.0,Central,2012-10-01
23.0,Central,2012-11-01
13.0,Central,2012-12-01
8.0,Central,2013-01-01
21.0,Central,2013-02-01
26.0,Central,2013-03-01
19.0,Central,2013-04-01
21.0,Central,2013-05-01
17.0,Central,2013-06-01
24.0,Central,2013-07-01
16.0,Central,2013-08-01
26.0,Central,2013-09-01
21.0,Central,2013-10-01
16.0,Central,2013-11-01
26.0,Central,2013-12-01
14.0,Central,2014-01-01
19.0,Central,2014-02-01
29.0,Central,2014-03-01
21.0,Central,2014-04-01
14.0,Central,2014-05-01
20.0,Central,2014-06-01
26.0,Central,2014-07-01
26.0,Central,2014-08-01
24.0,Central,2014-09-01
29.0,Central,2014-10-01
22.0,Central,2014-11-01
26.0,Central,2014-12-01
18.0,Central,2015-01-01
19.0,Central,2015-02-01
20.0,Central,2015-03-01
17.0,Central,2015-04-01
24.0,Central,2015-05-01
20.0,Central,2015-06-01
29.0,Central,2015-07-01
23.0,Central,2015-08-01
23.0,Central,2015-09-01
27.0,Central,2015-10-01
15.0,Central,2015-11-01
29.0,Central,2015-12-01
22.0,Central,2016-01-01
30.0,Central,2016-02-01
26.0,Central,2016-03-01
20.0,Central,2016-04-01
36.0,Central,2016-05-01
35.0,Central,2016-06-01
30.0,Central,2016-07-01
31.0,Central,2016-08-01
30.0,Central,2016-09-01
29.0,Counties/Manukau,2009-01-01
25.0,Counties/Manukau,2009-02-01
22.0,Counties/Manukau,2009-03-01
25.0,Counties/Manukau,2009-04-01
33.0,Counties/Manukau,2009-05-01
29.0,Counties/Manukau,2009-06-01
32.0,Counties/Manukau,2009-07-01
26.0,Counties/Manukau,2009-08-01
40.0,Counties/Manukau,2009-09-01
22.0,Counties/Manukau,2009-10-01
22.0,Counties/Manukau,2009-11-01
25.0,Counties/Manukau,2009-12-01
28.0,Counties/Manukau,2010-01-01
21.0,Counties/Manukau,2010-02-01
31.0,Counties/Manukau,2010-03-01
22.0,Counties/Manukau,2010-04-01
21.0,Counties/Manukau,2010-05-01
23.0,Counties/Manukau,2010-06-01
25.0,Counties/Manukau,2010-07-01
20.0,Counties/Manukau,2010-08-01
29.0,Counties/Manukau,2010-09-01
31.0,Counties/Manukau,2010-10-01
25.0,Counties/Manukau,2010-11-01
20.0,Counties/Manukau,2010-12-01
17.0,Counties/Manukau,2011-01-01
31.0,Counties/Manukau,2011-02-01
28.0,Counties/Manukau,2011-03-01
28.0,Counties/Manukau,2011-04-01
22.0,Counties/Manukau,2011-05-01
37.0,Counties/Manukau,2011-06-01
30.0,Counties/Manukau,2011-07-01
35.0,Counties/Manukau,2011-08-01
31.0,Counties/Manukau,2011-09-01
20.0,Counties/Manukau,2011-10-01
21.0,Counties/Manukau,2011-11-01
27.0,Counties/Manukau,2011-12-01
34.0,Counties/Manukau,2012-01-01
33.0,Counties/Manukau,2012-02-01
32.0,Counties/Manukau,2012-03-01
23.0,Counties/Manukau,2012-04-01
24.0,Counties/Manukau,2012-05-01
22.0,Counties/Manukau,2012-06-01
18.0,Counties/Manukau,2012-07-01
16.0,Counties/Manukau,2012-08-01
24.0,Counties/Manukau,2012-09-01
25.0,Counties/Manukau,2012-10-01
31.0,Counties/Manukau,2012-11-01
27.0,Counties/Manukau,2012-12-01
22.0,Counties/Manukau,2013-01-01
28.0,Counties/Manukau,2013-02-01
30.0,Counties/Manukau,2013-03-01
23.0,Counties/Manukau,2013-04-01
30.0,Counties/Manukau,2013-05-01
39.0,Counties/Manukau,2013-06-01
29.0,Counties/Manukau,2013-07-01
30.0,Counties/Manukau,2013-08-01
35.0,Counties/Manukau,2013-09-01
30.0,Counties/Manukau,2013-10-01
25.0,Counties/Manukau,2013-11-01
27.0,Counties/Manukau,2013-12-01
36.0,Counties/Manukau,2014-01-01
17.0,Counties/Manukau,2014-02-01
28.0,Counties/Manukau,2014-03-01
32.0,Counties/Manukau,2014-04-01
37.0,Counties/Manukau,2014-05-01
37.0,Counties/Manukau,2014-06-01
33.0,Counties/Manukau,2014-07-01
24.0,Counties/Manukau,2014-08-01
38.0,Counties/Manukau,2014-09-01
27.0,Counties/Manukau,2014-10-01
18.0,Counties/Manukau,2014-11-01
25.0,Counties/Manukau,2014-12-01
43.0,Counties/Manukau,2015-01-01
37.0,Counties/Manukau,2015-02-01
35.0,Counties/Manukau,2015-03-01
58.0,Counties/Manukau,2015-04-01
44.0,Counties/Manukau,2015-05-01
41.0,Counties/Manukau,2015-06-01
45.0,Counties/Manukau,2015-07-01
41.0,Counties/Manukau,2015-08-01
37.0,Counties/Manukau,2015-09-01
33.0,Counties/Manukau,2015-10-01
52.0,Counties/Manukau,2015-11-01
33.0,Counties/Manukau,2015-12-01
